respondent_id,h1n1_vaccine,seasonal_vaccine
31922,0.1,0.12
31923,0.06,0.17
31924,0.3,0.35
31925,0.21,0.69
31926,0.1,0.19
31927,0.28,0.26
31928,0.29,0.74
31929,0.36,0.4
31930,0.3,0.42
31931,0.27,0.66
31932,0.12,0.25
31933,0.61,0.25
31934,0.15,0.38
31935,0.63,0.76
31936,0.22,0.3
31937,0.22,0.46
31938,0.47,0.53
31939,0.1,0.12
31940,0.14,0.15
31941,0.2,0.48
31942,0.05,0.17
31943,0.2,0.32
31944,0.2,0.6
31945,0.25,0.48
31946,0.37,0.27
31947,0.17,0.28
31948,0.17,0.81
31949,0.31,0.2
31950,0.13,0.22
31951,0.38,0.49
31952,0.13,0.39
31953,0.11,0.39
31954,0.39,0.75
31955,0.08,0.32
31956,0.28,0.25
31957,0.29,0.6
31958,0.16,0.15
31959,0.05,0.16
31960,0.27,0.32
31961,0.14,0.2
31962,0.27,0.37
31963,0.71,0.7
31964,0.15,0.27
31965,0.16,0.75
31966,0.18,0.26
31967,0.13,0.19
31968,0.47,0.27
31969,0.42,0.63
31970,0.45,0.46
31971,0.29,0.62
31972,0.16,0.3
31973,0.21,0.15
31974,0.09,0.14
31975,0.04,0.1
31976,0.34,0.28
31977,0.06,0.08
31978,0.35,0.52
31979,0.16,0.29
31980,0.37,0.66
31981,0.21,0.4
31982,0.09,0.12
31983,0.51,0.65
31984,0.07,0.07
31985,0.18,0.16
31986,0.32,0.88
31987,0.26,0.39
31988,0.47,0.63
31989,0.23,0.84
31990,0.07,0.84
31991,0.31,0.61
31992,0.21,0.2
31993,0.57,0.63
31994,0.22,0.36
31995,0.39,0.45
31996,0.34,0.28
31997,0.11,0.7
31998,0.11,0.33
31999,0.13,0.19
32000,0.44,0.8
32001,0.33,0.5
32002,0.54,0.5
32003,0.15,0.54
32004,0.35,0.7
32005,0.06,0.15
32006,0.23,0.56
32007,0.52,0.82
32008,0.09,0.12
32009,0.12,0.26
32010,0.24,0.5
32011,0.16,0.72
32012,0.22,0.58
32013,0.34,0.81
32014,0.25,0.37
32015,0.28,0.37
32016,0.53,0.63
32017,0.1,0.12
32018,0.21,0.12
32019,0.29,0.53
32020,0.62,0.69
32021,0.18,0.21
32022,0.38,0.48
32023,0.24,0.61
32024,0.31,0.27
32025,0.47,0.54
32026,0.37,0.45
32027,0.16,0.9
32028,0.59,0.77
32029,0.1,0.14
32030,0.26,0.46
32031,0.15,0.18
32032,0.45,0.44
32033,0.12,0.2
32034,0.16,0.47
32035,0.16,0.12
32036,0.17,0.61
32037,0.26,0.7
32038,0.25,0.69
32039,0.39,0.36
32040,0.32,0.78
32041,0.66,0.86
32042,0.21,0.61
32043,0.49,0.63
32044,0.06,0.26
32045,0.2,0.9
32046,0.2,0.4
32047,0.71,0.65
32048,0.18,0.57
32049,0.1,0.33
32050,0.39,0.56
32051,0.09,0.79
32052,0.59,0.6
32053,0.13,0.13
32054,0.27,0.42
32055,0.13,0.55
32056,0.1,0.33
32057,0.13,0.1
32058,0.18,0.31
32059,0.23,0.69
32060,0.2,0.72
32061,0.25,0.22
32062,0.19,0.11
32063,0.22,0.62
32064,0.18,0.27
32065,0.27,0.34
32066,0.18,0.29
32067,0.14,0.1
32068,0.14,0.28
32069,0.55,0.84
32070,0.74,0.77
32071,0.46,0.56
32072,0.71,0.81
32073,0.02,0.17
32074,0.11,0.41
32075,0.1,0.16
32076,0.09,0.66
32077,0.21,0.28
32078,0.05,0.09
32079,0.33,0.2
32080,0.19,0.27
32081,0.43,0.69
32082,0.05,0.17
32083,0.15,0.25
32084,0.19,0.54
32085,0.17,0.54
32086,0.57,0.7
32087,0.18,0.81
32088,0.1,0.59
32089,0.42,0.61
32090,0.09,0.54
32091,0.36,0.27
32092,0.3,0.28
32093,0.13,0.26
32094,0.3,0.42
32095,0.66,0.75
32096,0.23,0.67
32097,0.33,0.43
32098,0.14,0.14
32099,0.17,0.54
32100,0.28,0.34
32101,0.59,0.78
32102,0.17,0.25
32103,0.2,0.45
32104,0.12,0.38
32105,0.25,0.84
32106,0.38,0.42
32107,0.26,0.39
32108,0.3,0.24
32109,0.19,0.4
32110,0.2,0.28
32111,0.22,0.33
32112,0.68,0.64
32113,0.22,0.52
32114,0.4,0.45
32115,0.07,0.14
32116,0.11,0.14
32117,0.68,0.85
32118,0.14,0.49
32119,0.27,0.68
32120,0.5,0.71
32121,0.68,0.69
32122,0.2,0.63
32123,0.14,0.51
32124,0.18,0.8
32125,0.1,0.19
32126,0.66,0.84
32127,0.37,0.52
32128,0.31,0.57
32129,0.16,0.21
32130,0.51,0.51
32131,0.89,0.87
32132,0.08,0.84
32133,0.03,0.13
32134,0.24,0.73
32135,0.22,0.38
32136,0.24,0.35
32137,0.31,0.7
32138,0.32,0.62
32139,0.16,0.22
32140,0.43,0.23
32141,0.21,0.31
32142,0.14,0.7
32143,0.13,0.43
32144,0.35,0.43
32145,0.35,0.34
32146,0.16,0.1
32147,0.25,0.34
32148,0.49,0.82
32149,0.16,0.4
32150,0.13,0.77
32151,0.12,0.13
32152,0.07,0.6
32153,0.21,0.53
32154,0.09,0.1
32155,0.24,0.47
32156,0.17,0.22
32157,0.11,0.06
32158,0.12,0.67
32159,0.72,0.69
32160,0.32,0.39
32161,0.42,0.2
32162,0.22,0.27
32163,0.2,0.4
32164,0.35,0.19
32165,0.33,0.58
32166,0.25,0.36
32167,0.13,0.49
32168,0.28,0.24
32169,0.15,0.34
32170,0.54,0.62
32171,0.19,0.67
32172,0.73,0.88
32173,0.23,0.48
32174,0.27,0.24
32175,0.24,0.8
32176,0.72,0.85
32177,0.29,0.57
32178,0.07,0.33
32179,0.22,0.59
32180,0.15,0.39
32181,0.25,0.26
32182,0.37,0.43
32183,0.38,0.83
32184,0.28,0.38
32185,0.44,0.55
32186,0.29,0.31
32187,0.33,0.64
32188,0.47,0.36
32189,0.47,0.76
32190,0.38,0.5
32191,0.16,0.24
32192,0.14,0.37
32193,0.2,0.22
32194,0.07,0.18
32195,0.15,0.35
32196,0.29,0.63
32197,0.08,0.2
32198,0.46,0.57
32199,0.52,0.83
32200,0.33,0.36
32201,0.18,0.28
32202,0.13,0.79
32203,0.2,0.79
32204,0.12,0.53
32205,0.29,0.77
32206,0.16,0.67
32207,0.71,0.78
32208,0.13,0.27
32209,0.14,0.35
32210,0.19,0.62
32211,0.14,0.18
32212,0.1,0.34
32213,0.11,0.2
32214,0.12,0.21
32215,0.37,0.4
32216,0.64,0.68
32217,0.18,0.42
32218,0.3,0.65
32219,0.17,0.41
32220,0.68,0.63
32221,0.48,0.75
32222,0.17,0.17
32223,0.5,0.83
32224,0.47,0.65
32225,0.22,0.31
32226,0.43,0.73
32227,0.19,0.37
32228,0.63,0.71
32229,0.1,0.4
32230,0.09,0.25
32231,0.54,0.63
32232,0.39,0.62
32233,0.19,0.5
32234,0.1,0.38
32235,0.25,0.64
32236,0.21,0.83
32237,0.73,0.88
32238,0.15,0.17
32239,0.13,0.17
32240,0.13,0.39
32241,0.57,0.62
32242,0.24,0.36
32243,0.13,0.29
32244,0.19,0.25
32245,0.22,0.68
32246,0.42,0.68
32247,0.07,0.52
32248,0.54,0.56
32249,0.1,0.52
32250,0.16,0.33
32251,0.26,0.25
32252,0.52,0.6
32253,0.13,0.19
32254,0.2,0.14
32255,0.31,0.43
32256,0.32,0.51
32257,0.22,0.57
32258,0.25,0.24
32259,0.21,0.58
32260,0.22,0.33
32261,0.17,0.37
32262,0.19,0.18
32263,0.17,0.56
32264,0.13,0.21
32265,0.47,0.67
32266,0.19,0.45
32267,0.22,0.22
32268,0.2,0.2
32269,0.46,0.65
32270,0.36,0.56
32271,0.43,0.74
32272,0.18,0.36
32273,0.2,0.45
32274,0.29,0.67
32275,0.2,0.59
32276,0.4,0.25
32277,0.31,0.35
32278,0.26,0.49
32279,0.15,0.13
32280,0.17,0.2
32281,0.66,0.73
32282,0.13,0.15
32283,0.19,0.62
32284,0.56,0.63
32285,0.23,0.4
32286,0.21,0.54
32287,0.24,0.42
32288,0.23,0.54
32289,0.48,0.54
32290,0.28,0.21
32291,0.23,0.28
32292,0.34,0.28
32293,0.51,0.69
32294,0.49,0.45
32295,0.18,0.37
32296,0.22,0.57
32297,0.27,0.71
32298,0.05,0.14
32299,0.17,0.3
32300,0.03,0.19
32301,0.25,0.4
32302,0.27,0.26
32303,0.23,0.36
32304,0.15,0.41
32305,0.25,0.53
32306,0.46,0.65
32307,0.13,0.26
32308,0.39,0.8
32309,0.24,0.52
32310,0.46,0.58
32311,0.19,0.33
32312,0.68,0.57
32313,0.08,0.22
32314,0.19,0.6
32315,0.12,0.3
32316,0.13,0.86
32317,0.25,0.33
32318,0.08,0.59
32319,0.3,0.81
32320,0.06,0.07
32321,0.34,0.51
32322,0.15,0.25
32323,0.8,0.67
32324,0.26,0.9
32325,0.24,0.41
32326,0.27,0.2
32327,0.08,0.37
32328,0.06,0.18
32329,0.18,0.54
32330,0.33,0.47
32331,0.37,0.62
32332,0.09,0.14
32333,0.02,0.07
32334,0.17,0.47
32335,0.1,0.14
32336,0.1,0.3
32337,0.21,0.25
32338,0.21,0.52
32339,0.26,0.5
32340,0.47,0.71
32341,0.32,0.5
32342,0.15,0.61
32343,0.64,0.84
32344,0.67,0.79
32345,0.16,0.38
32346,0.18,0.17
32347,0.25,0.56
32348,0.18,0.75
32349,0.21,0.55
32350,0.18,0.59
32351,0.41,0.68
32352,0.04,0.04
32353,0.2,0.26
32354,0.27,0.38
32355,0.24,0.55
32356,0.35,0.49
32357,0.5,0.69
32358,0.4,0.76
32359,0.55,0.81
32360,0.38,0.67
32361,0.17,0.56
32362,0.23,0.44
32363,0.11,0.79
32364,0.24,0.13
32365,0.17,0.26
32366,0.21,0.42
32367,0.31,0.68
32368,0.11,0.65
32369,0.18,0.51
32370,0.14,0.37
32371,0.15,0.22
32372,0.08,0.17
32373,0.24,0.5
32374,0.21,0.32
32375,0.27,0.67
32376,0.15,0.26
32377,0.2,0.48
32378,0.08,0.51
32379,0.33,0.45
32380,0.27,0.56
32381,0.12,0.42
32382,0.21,0.42
32383,0.28,0.81
32384,0.2,0.28
32385,0.15,0.24
32386,0.28,0.44
32387,0.4,0.33
32388,0.23,0.19
32389,0.16,0.09
32390,0.13,0.4
32391,0.25,0.68
32392,0.28,0.54
32393,0.58,0.51
32394,0.08,0.33
32395,0.45,0.69
32396,0.1,0.3
32397,0.2,0.61
32398,0.2,0.48
32399,0.53,0.52
32400,0.54,0.57
32401,0.3,0.6
32402,0.1,0.21
32403,0.21,0.78
32404,0.13,0.29
32405,0.19,0.75
32406,0.52,0.3
32407,0.23,0.21
32408,0.15,0.62
32409,0.16,0.65
32410,0.27,0.7
32411,0.23,0.29
32412,0.15,0.1
32413,0.19,0.4
32414,0.26,0.82
32415,0.09,0.35
32416,0.42,0.8
32417,0.17,0.73
32418,0.14,0.27
32419,0.26,0.34
32420,0.5,0.44
32421,0.16,0.57
32422,0.2,0.16
32423,0.18,0.65
32424,0.53,0.51
32425,0.56,0.64
32426,0.21,0.27
32427,0.37,0.39
32428,0.28,0.46
32429,0.46,0.64
32430,0.13,0.42
32431,0.69,0.9
32432,0.17,0.15
32433,0.55,0.49
32434,0.25,0.54
32435,0.2,0.78
32436,0.2,0.46
32437,0.09,0.21
32438,0.14,0.22
32439,0.37,0.75
32440,0.23,0.52
32441,0.37,0.67
32442,0.18,0.7
32443,0.14,0.62
32444,0.83,0.79
32445,0.15,0.28
32446,0.38,0.79
32447,0.1,0.38
32448,0.21,0.5
32449,0.06,0.12
32450,0.51,0.69
32451,0.06,0.21
32452,0.16,0.24
32453,0.49,0.28
32454,0.46,0.62
32455,0.37,0.34
32456,0.18,0.25
32457,0.16,0.48
32458,0.26,0.38
32459,0.17,0.41
32460,0.09,0.74
32461,0.1,0.06
32462,0.14,0.62
32463,0.56,0.75
32464,0.31,0.59
32465,0.11,0.78
32466,0.21,0.26
32467,0.21,0.36
32468,0.05,0.23
32469,0.27,0.74
32470,0.17,0.39
32471,0.16,0.38
32472,0.21,0.41
32473,0.13,0.14
32474,0.11,0.24
32475,0.26,0.84
32476,0.26,0.3
32477,0.11,0.19
32478,0.35,0.48
32479,0.11,0.39
32480,0.21,0.19
32481,0.36,0.41
32482,0.21,0.73
32483,0.19,0.71
32484,0.42,0.8
32485,0.12,0.15
32486,0.1,0.16
32487,0.36,0.42
32488,0.24,0.42
32489,0.24,0.63
32490,0.19,0.79
32491,0.69,0.82
32492,0.44,0.49
32493,0.27,0.16
32494,0.19,0.69
32495,0.49,0.61
32496,0.18,0.24
32497,0.31,0.47
32498,0.46,0.6
32499,0.16,0.29
32500,0.1,0.19
32501,0.72,0.8
32502,0.57,0.65
32503,0.19,0.38
32504,0.5,0.55
32505,0.17,0.71
32506,0.56,0.64
32507,0.22,0.23
32508,0.28,0.58
32509,0.2,0.52
32510,0.53,0.8
32511,0.61,0.4
32512,0.13,0.19
32513,0.45,0.74
32514,0.13,0.33
32515,0.34,0.24
32516,0.39,0.6
32517,0.12,0.28
32518,0.53,0.68
32519,0.39,0.64
32520,0.28,0.26
32521,0.11,0.22
32522,0.12,0.39
32523,0.21,0.51
32524,0.35,0.38
32525,0.48,0.66
32526,0.24,0.34
32527,0.48,0.7
32528,0.47,0.71
32529,0.12,0.76
32530,0.5,0.68
32531,0.11,0.14
32532,0.13,0.21
32533,0.78,0.68
32534,0.77,0.7
32535,0.19,0.15
32536,0.21,0.32
32537,0.65,0.74
32538,0.17,0.45
32539,0.19,0.27
32540,0.15,0.49
32541,0.1,0.37
32542,0.28,0.6
32543,0.14,0.51
32544,0.14,0.31
32545,0.51,0.87
32546,0.45,0.26
32547,0.2,0.66
32548,0.11,0.24
32549,0.08,0.23
32550,0.21,0.82
32551,0.12,0.14
32552,0.51,0.77
32553,0.07,0.39
32554,0.4,0.61
32555,0.17,0.59
32556,0.32,0.44
32557,0.13,0.13
32558,0.3,0.46
32559,0.15,0.32
32560,0.55,0.75
32561,0.19,0.28
32562,0.2,0.25
32563,0.55,0.67
32564,0.48,0.79
32565,0.13,0.25
32566,0.24,0.8
32567,0.39,0.6
32568,0.24,0.56
32569,0.27,0.79
32570,0.1,0.29
32571,0.6,0.46
32572,0.14,0.8
32573,0.05,0.07
32574,0.19,0.81
32575,0.22,0.26
32576,0.29,0.72
32577,0.04,0.11
32578,0.29,0.58
32579,0.62,0.91
32580,0.39,0.55
32581,0.23,0.62
32582,0.14,0.76
32583,0.25,0.55
32584,0.62,0.82
32585,0.21,0.39
32586,0.26,0.57
32587,0.23,0.81
32588,0.22,0.28
32589,0.19,0.26
32590,0.34,0.28
32591,0.14,0.81
32592,0.43,0.5
32593,0.16,0.71
32594,0.3,0.35
32595,0.15,0.5
32596,0.25,0.22
32597,0.07,0.82
32598,0.22,0.37
32599,0.13,0.17
32600,0.31,0.5
32601,0.2,0.51
32602,0.65,0.89
32603,0.05,0.19
32604,0.11,0.14
32605,0.3,0.17
32606,0.18,0.52
32607,0.21,0.41
32608,0.14,0.46
32609,0.34,0.86
32610,0.66,0.79
32611,0.56,0.66
32612,0.13,0.45
32613,0.12,0.14
32614,0.21,0.23
32615,0.18,0.91
32616,0.11,0.75
32617,0.16,0.83
32618,0.52,0.4
32619,0.25,0.4
32620,0.49,0.89
32621,0.31,0.48
32622,0.11,0.17
32623,0.17,0.39
32624,0.37,0.51
32625,0.3,0.44
32626,0.16,0.66
32627,0.12,0.19
32628,0.7,0.85
32629,0.17,0.29
32630,0.24,0.64
32631,0.19,0.79
32632,0.14,0.13
32633,0.77,0.71
32634,0.21,0.42
32635,0.27,0.3
32636,0.3,0.3
32637,0.1,0.25
32638,0.46,0.72
32639,0.21,0.37
32640,0.14,0.83
32641,0.26,0.53
32642,0.29,0.5
32643,0.2,0.84
32644,0.6,0.69
32645,0.18,0.38
32646,0.28,0.61
32647,0.7,0.74
32648,0.43,0.51
32649,0.39,0.65
32650,0.24,0.54
32651,0.29,0.53
32652,0.71,0.35
32653,0.26,0.7
32654,0.09,0.7
32655,0.17,0.67
32656,0.33,0.59
32657,0.35,0.28
32658,0.1,0.4
32659,0.28,0.45
32660,0.11,0.14
32661,0.24,0.66
32662,0.23,0.21
32663,0.13,0.82
32664,0.14,0.2
32665,0.15,0.8
32666,0.36,0.45
32667,0.51,0.7
32668,0.07,0.08
32669,0.19,0.63
32670,0.43,0.37
32671,0.11,0.23
32672,0.43,0.42
32673,0.19,0.36
32674,0.16,0.46
32675,0.11,0.15
32676,0.41,0.7
32677,0.1,0.75
32678,0.21,0.32
32679,0.14,0.15
32680,0.15,0.13
32681,0.15,0.38
32682,0.15,0.82
32683,0.27,0.31
32684,0.2,0.11
32685,0.11,0.38
32686,0.09,0.17
32687,0.19,0.65
32688,0.14,0.19
32689,0.74,0.83
32690,0.2,0.7
32691,0.17,0.34
32692,0.13,0.3
32693,0.17,0.28
32694,0.24,0.21
32695,0.46,0.79
32696,0.36,0.77
32697,0.18,0.26
32698,0.17,0.48
32699,0.34,0.49
32700,0.15,0.28
32701,0.07,0.09
32702,0.31,0.51
32703,0.15,0.19
32704,0.24,0.44
32705,0.28,0.2
32706,0.11,0.44
32707,0.17,0.47
32708,0.07,0.17
32709,0.29,0.45
32710,0.26,0.31
32711,0.17,0.81
32712,0.2,0.42
32713,0.21,0.13
32714,0.14,0.66
32715,0.1,0.58
32716,0.17,0.19
32717,0.12,0.7
32718,0.15,0.16
32719,0.1,0.18
32720,0.14,0.87
32721,0.31,0.61
32722,0.16,0.39
32723,0.18,0.16
32724,0.43,0.32
32725,0.39,0.54
32726,0.18,0.66
32727,0.38,0.58
32728,0.04,0.19
32729,0.2,0.26
32730,0.03,0.12
32731,0.69,0.86
32732,0.24,0.62
32733,0.25,0.55
32734,0.23,0.23
32735,0.08,0.39
32736,0.15,0.22
32737,0.07,0.4
32738,0.08,0.27
32739,0.13,0.1
32740,0.13,0.77
32741,0.05,0.24
32742,0.22,0.8
32743,0.13,0.14
32744,0.27,0.57
32745,0.43,0.61
32746,0.46,0.39
32747,0.17,0.29
32748,0.26,0.66
32749,0.17,0.34
32750,0.55,0.74
32751,0.1,0.8
32752,0.25,0.3
32753,0.29,0.3
32754,0.17,0.11
32755,0.74,0.85
32756,0.2,0.39
32757,0.12,0.16
32758,0.6,0.89
32759,0.16,0.5
32760,0.17,0.34
32761,0.16,0.79
32762,0.2,0.13
32763,0.04,0.21
32764,0.09,0.07
32765,0.11,0.26
32766,0.11,0.15
32767,0.27,0.35
32768,0.13,0.37
32769,0.05,0.19
32770,0.52,0.85
32771,0.16,0.08
32772,0.25,0.47
32773,0.12,0.31
32774,0.07,0.31
32775,0.15,0.71
32776,0.11,0.9
32777,0.31,0.71
32778,0.08,0.21
32779,0.43,0.58
32780,0.24,0.25
32781,0.42,0.44
32782,0.18,0.74
32783,0.09,0.29
32784,0.39,0.51
32785,0.25,0.36
32786,0.44,0.59
32787,0.27,0.65
32788,0.26,0.64
32789,0.41,0.59
32790,0.67,0.53
32791,0.26,0.67
32792,0.48,0.53
32793,0.2,0.32
32794,0.17,0.46
32795,0.08,0.14
32796,0.51,0.5
32797,0.07,0.45
32798,0.15,0.38
32799,0.38,0.74
32800,0.15,0.34
32801,0.44,0.47
32802,0.38,0.29
32803,0.16,0.16
32804,0.27,0.72
32805,0.21,0.39
32806,0.17,0.31
32807,0.14,0.52
32808,0.15,0.44
32809,0.21,0.26
32810,0.31,0.8
32811,0.15,0.22
32812,0.18,0.38
32813,0.11,0.1
32814,0.09,0.2
32815,0.56,0.67
32816,0.34,0.7
32817,0.13,0.86
32818,0.66,0.79
32819,0.2,0.27
32820,0.06,0.07
32821,0.52,0.39
32822,0.14,0.61
32823,0.2,0.47
32824,0.13,0.37
32825,0.38,0.5
32826,0.51,0.79
32827,0.14,0.69
32828,0.18,0.56
32829,0.63,0.84
32830,0.19,0.34
32831,0.16,0.19
32832,0.08,0.4
32833,0.21,0.28
32834,0.34,0.56
32835,0.16,0.65
32836,0.68,0.48
32837,0.49,0.57
32838,0.26,0.66
32839,0.14,0.53
32840,0.27,0.31
32841,0.51,0.41
32842,0.12,0.22
32843,0.77,0.92
32844,0.05,0.3
32845,0.06,0.25
32846,0.21,0.31
32847,0.29,0.38
32848,0.16,0.36
32849,0.16,0.17
32850,0.12,0.45
32851,0.48,0.23
32852,0.52,0.8
32853,0.23,0.22
32854,0.28,0.7
32855,0.19,0.34
32856,0.08,0.86
32857,0.11,0.47
32858,0.18,0.21
32859,0.13,0.31
32860,0.48,0.8
32861,0.31,0.57
32862,0.38,0.44
32863,0.12,0.22
32864,0.15,0.22
32865,0.26,0.3
32866,0.11,0.27
32867,0.52,0.54
32868,0.28,0.46
32869,0.16,0.23
32870,0.28,0.47
32871,0.18,0.31
32872,0.2,0.52
32873,0.4,0.5
32874,0.03,0.38
32875,0.08,0.15
32876,0.73,0.74
32877,0.1,0.2
32878,0.22,0.29
32879,0.08,0.17
32880,0.53,0.61
32881,0.41,0.54
32882,0.28,0.35
32883,0.16,0.53
32884,0.1,0.22
32885,0.57,0.57
32886,0.12,0.15
32887,0.14,0.84
32888,0.24,0.26
32889,0.48,0.46
32890,0.17,0.42
32891,0.57,0.53
32892,0.33,0.38
32893,0.39,0.38
32894,0.38,0.5
32895,0.32,0.74
32896,0.17,0.22
32897,0.21,0.29
32898,0.38,0.62
32899,0.41,0.64
32900,0.28,0.73
32901,0.12,0.87
32902,0.26,0.45
32903,0.4,0.56
32904,0.21,0.17
32905,0.14,0.15
32906,0.33,0.46
32907,0.56,0.71
32908,0.35,0.58
32909,0.4,0.59
32910,0.19,0.51
32911,0.24,0.44
32912,0.09,0.27
32913,0.5,0.78
32914,0.27,0.51
32915,0.26,0.63
32916,0.27,0.56
32917,0.14,0.75
32918,0.22,0.66
32919,0.58,0.6
32920,0.29,0.4
32921,0.41,0.47
32922,0.09,0.07
32923,0.21,0.87
32924,0.44,0.85
32925,0.26,0.34
32926,0.06,0.27
32927,0.14,0.31
32928,0.3,0.23
32929,0.28,0.55
32930,0.24,0.61
32931,0.19,0.26
32932,0.19,0.37
32933,0.15,0.1
32934,0.31,0.56
32935,0.34,0.47
32936,0.43,0.2
32937,0.56,0.67
32938,0.14,0.2
32939,0.1,0.11
32940,0.43,0.37
32941,0.16,0.35
32942,0.2,0.4
32943,0.2,0.32
32944,0.52,0.68
32945,0.21,0.17
32946,0.25,0.27
32947,0.11,0.21
32948,0.36,0.43
32949,0.12,0.22
32950,0.26,0.59
32951,0.48,0.43
32952,0.65,0.64
32953,0.3,0.63
32954,0.27,0.43
32955,0.28,0.75
32956,0.62,0.54
32957,0.16,0.31
32958,0.29,0.66
32959,0.13,0.2
32960,0.09,0.74
32961,0.42,0.42
32962,0.1,0.21
32963,0.25,0.57
32964,0.18,0.39
32965,0.28,0.38
32966,0.19,0.82
32967,0.18,0.58
32968,0.21,0.4
32969,0.24,0.29
32970,0.21,0.48
32971,0.12,0.21
32972,0.17,0.28
32973,0.48,0.76
32974,0.1,0.2
32975,0.47,0.55
32976,0.14,0.32
32977,0.17,0.22
32978,0.22,0.57
32979,0.15,0.76
32980,0.24,0.32
32981,0.13,0.14
32982,0.21,0.65
32983,0.62,0.75
32984,0.54,0.73
32985,0.23,0.52
32986,0.29,0.7
32987,0.3,0.67
32988,0.13,0.46
32989,0.21,0.18
32990,0.72,0.81
32991,0.13,0.16
32992,0.46,0.72
32993,0.09,0.18
32994,0.2,0.56
32995,0.29,0.52
32996,0.46,0.54
32997,0.27,0.48
32998,0.22,0.25
32999,0.14,0.34
33000,0.13,0.31
33001,0.07,0.56
33002,0.45,0.64
33003,0.03,0.74
33004,0.17,0.34
33005,0.29,0.26
33006,0.58,0.54
33007,0.21,0.23
33008,0.17,0.19
33009,0.37,0.34
33010,0.38,0.43
33011,0.13,0.63
33012,0.24,0.22
33013,0.23,0.67
33014,0.14,0.81
33015,0.21,0.32
33016,0.14,0.4
33017,0.45,0.66
33018,0.62,0.74
33019,0.7,0.84
33020,0.32,0.4
33021,0.13,0.2
33022,0.37,0.5
33023,0.08,0.15
33024,0.35,0.64
33025,0.25,0.75
33026,0.72,0.84
33027,0.22,0.92
33028,0.23,0.3
33029,0.38,0.61
33030,0.17,0.33
33031,0.25,0.65
33032,0.42,0.7
33033,0.18,0.48
33034,0.12,0.23
33035,0.16,0.07
33036,0.21,0.79
33037,0.53,0.64
33038,0.24,0.39
33039,0.15,0.19
33040,0.37,0.71
33041,0.13,0.11
33042,0.16,0.19
33043,0.13,0.11
33044,0.28,0.15
33045,0.13,0.09
33046,0.16,0.26
33047,0.15,0.37
33048,0.66,0.88
33049,0.13,0.32
33050,0.33,0.68
33051,0.1,0.09
33052,0.76,0.78
33053,0.18,0.7
33054,0.16,0.39
33055,0.11,0.59
33056,0.35,0.58
33057,0.12,0.2
33058,0.28,0.39
33059,0.27,0.23
33060,0.28,0.75
33061,0.08,0.06
33062,0.26,0.51
33063,0.02,0.33
33064,0.34,0.32
33065,0.46,0.79
33066,0.18,0.33
33067,0.16,0.26
33068,0.11,0.14
33069,0.2,0.28
33070,0.12,0.45
33071,0.4,0.82
33072,0.17,0.73
33073,0.19,0.59
33074,0.21,0.57
33075,0.12,0.32
33076,0.17,0.47
33077,0.41,0.78
33078,0.48,0.82
33079,0.08,0.16
33080,0.13,0.22
33081,0.13,0.3
33082,0.29,0.64
33083,0.74,0.9
33084,0.51,0.62
33085,0.37,0.42
33086,0.13,0.78
33087,0.09,0.21
33088,0.21,0.43
33089,0.18,0.77
33090,0.11,0.15
33091,0.42,0.56
33092,0.03,0.04
33093,0.32,0.27
33094,0.54,0.83
33095,0.47,0.64
33096,0.19,0.31
33097,0.18,0.36
33098,0.46,0.51
33099,0.14,0.26
33100,0.16,0.2
33101,0.2,0.19
33102,0.47,0.81
33103,0.2,0.6
33104,0.2,0.61
33105,0.23,0.31
33106,0.28,0.67
33107,0.14,0.44
33108,0.17,0.15
33109,0.23,0.57
33110,0.02,0.09
33111,0.1,0.25
33112,0.22,0.69
33113,0.3,0.89
33114,0.43,0.54
33115,0.5,0.75
33116,0.11,0.13
33117,0.22,0.74
33118,0.18,0.39
33119,0.44,0.51
33120,0.26,0.14
33121,0.4,0.67
33122,0.16,0.66
33123,0.23,0.21
33124,0.13,0.17
33125,0.65,0.88
33126,0.16,0.35
33127,0.44,0.62
33128,0.11,0.43
33129,0.34,0.76
33130,0.08,0.37
33131,0.18,0.41
33132,0.44,0.69
33133,0.31,0.74
33134,0.11,0.22
33135,0.28,0.54
33136,0.6,0.51
33137,0.15,0.35
33138,0.59,0.62
33139,0.22,0.62
33140,0.17,0.14
33141,0.36,0.44
33142,0.12,0.4
33143,0.21,0.25
33144,0.24,0.43
33145,0.11,0.92
33146,0.22,0.17
33147,0.13,0.1
33148,0.55,0.62
33149,0.26,0.48
33150,0.13,0.67
33151,0.21,0.4
33152,0.3,0.8
33153,0.25,0.35
33154,0.1,0.88
33155,0.2,0.39
33156,0.3,0.35
33157,0.23,0.87
33158,0.16,0.17
33159,0.23,0.35
33160,0.32,0.41
33161,0.18,0.15
33162,0.15,0.14
33163,0.07,0.13
33164,0.13,0.57
33165,0.21,0.66
33166,0.12,0.61
33167,0.21,0.13
33168,0.32,0.37
33169,0.18,0.47
33170,0.3,0.8
33171,0.44,0.68
33172,0.48,0.44
33173,0.16,0.72
33174,0.14,0.12
33175,0.19,0.31
33176,0.25,0.5
33177,0.17,0.68
33178,0.38,0.47
33179,0.22,0.19
33180,0.08,0.19
33181,0.25,0.58
33182,0.08,0.22
33183,0.34,0.42
33184,0.17,0.62
33185,0.39,0.61
33186,0.09,0.87
33187,0.35,0.49
33188,0.14,0.78
33189,0.25,0.25
33190,0.11,0.23
33191,0.13,0.17
